지역명,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05
전국,94.124016,94.471176,94.664616,94.887583,95.051282,95.662861,96.38421,96.915202,97.279504,97.662409,98.010995,98.163757,98.437605,98.464724,98.821528,99.042505,99.414099,99.621106,99.699482,99.855672,100,100.1524974,100.2721377,100.3992439,100.5249814,100.6730323,100.8269119,100.8497461,100.8836596,100.8283727,100.8369305,100.8672189,100.8348122,100.8083726,100.8078001,100.8065339,100.8100852,100.7823584,100.781622,100.7982882,100.7840013,100.7742798,100.7779356,100.7612763,100.7500841,100.7521501,100.7606808,100.7692122,100.795861,100.7915032,100.8273913,100.9815138,101.0946771,101.1959742,101.3059057,101.3520601,101.3425772,101.3387227,101.3320264,101.3533338,101.4658333
서울,89.978918,90.632574,91.024225,91.589021,92.114714,93.389528,94.329754,95.21593,95.85937,96.161332,96.625243,96.903103,97.444819,97.391929,98.012211,98.430399,99.307604,99.756561,99.861728,99.954253,100,100.0356915,100.1361103,100.160002,100.2663978,100.3326215,100.4412672,100.5167078,100.5890021,100.5622661,100.5820979,100.7384218,100.6312991,100.6039641,100.6014092,100.5846119,100.5569233,100.5189598,100.5179676,100.5169735,100.4939301,100.4980743,100.5179609,100.5025421,100.5055241,100.5787413,100.6095107,100.6402895,100.6714851,100.6931022,100.7674255,100.8593123,100.8593123,100.8593123,100.8941203,100.900751,100.9164864,100.9377885,100.9545208,101.0679205,101.5429573
강북14개구,90.451482,91.422276,91.792479,92.206549,92.799489,94.079983,94.64377,95.321352,95.897527,96.253032,96.719494,97.021535,97.74401,97.475052,98.037591,98.587021,99.685805,99.97527,100.002044,100.006308,100,100.0292922,100.0488983,100.061638,100.1614008,100.1889158,100.2650285,100.2889138,100.4145643,100.2938704,100.2785738,100.274577,100.0980558,100.0964691,100.0948794,100.0735201,100.050688,99.98943519,99.98783474,99.98623118,99.94892685,99.95561083,99.95561083,99.93074719,99.89821544,99.88479612,99.88333257,99.88186904,99.85889171,99.83482594,99.9408379,100.0805506,100.0805506,100.0805506,100.0805506,100.0912164,100.1582964,100.1654098,100.1097117,100.13122,100.2570669
강남11개구,89.223837,89.370759,89.796679,90.602312,91.020552,92.286292,93.828007,95.047482,95.798401,96.014811,96.474644,96.713867,96.96676,97.259111,97.971658,98.180143,98.703299,99.407099,99.637525,99.871078,100,100.0459166,100.2754611,100.3171719,100.4341662,100.56224,100.7228681,100.8806859,100.8677255,100.991119,101.0678529,101.4841004,101.489974,101.4206453,101.4165176,101.4071578,101.3715555,101.3715555,101.3715555,101.3715555,101.3717738,101.3717738,101.4241024,101.4241024,101.4850678,101.6998593,101.7834185,101.8670464,101.9871153,102.0837832,102.1059659,102.1192321,102.1192321,102.1192321,102.2111644,102.2111644,102.1425507,102.1871263,102.3227244,102.587208,103.6377019
수도권,91.610682,92.063264,92.432105,92.767889,93.070285,94.148023,94.845584,95.442028,95.848064,96.401514,97.040305,97.300425,97.758402,97.702204,98.337134,98.678481,99.272941,99.625894,99.775793,99.872765,100,100.1845518,100.319212,100.5280206,100.6600758,100.8015344,100.8564258,100.9334074,100.9945713,100.9797006,101.0046121,101.1292251,101.0763311,101.0358293,101.0347649,101.0277667,101.0162297,100.9693014,100.9643507,100.9808651,100.9655041,100.9544319,100.9661481,100.9315552,100.9331658,100.9617405,100.9688614,100.9759828,100.9985996,100.9949376,101.1652469,101.444704,101.5269404,101.5764017,101.6539184,101.6408918,101.654077,101.6736266,101.630141,101.6767207,101.9486651
6개광역시,92.581548,93.25893,93.417417,93.673387,93.816394,94.499284,95.404893,96.216283,96.645578,97.162682,97.661416,97.905304,98.283581,98.201798,98.64261,98.961129,99.294561,99.564389,99.611028,99.744733,100,100.2502331,100.4854273,100.5908934,100.7697983,100.9819557,101.2303333,101.2228744,101.2541574,101.1898646,101.1878697,101.1639625,101.1101861,101.0624296,101.0617011,101.0648353,101.1591431,101.1237198,101.123662,101.1596845,101.1642434,101.1392628,101.1388826,101.1213745,101.0928552,101.0893791,101.1221749,101.1549813,101.1999132,101.1808161,101.1335513,101.3366059,101.5962088,101.7900439,102.0538052,102.1276016,102.0846719,102.0769146,102.0235964,101.9755834,102.0548288
5개광역시,92.742547,93.459373,93.609439,93.890853,94.037575,94.660261,95.684129,96.53723,97.005046,97.5742,97.946306,98.098496,98.369872,98.359019,98.748061,99.068679,99.334406,99.548402,99.597775,99.728319,100,100.1848264,100.439742,100.5521508,100.6955468,100.9275357,101.2059155,101.1888519,101.2144393,101.1400539,101.141922,101.1104529,101.0596576,101.0122892,101.0114773,101.0149698,101.1200607,101.0805828,101.083622,101.1237672,101.1288481,101.1070632,101.1066394,101.0871261,101.055341,101.0544088,101.0909598,101.127524,101.1692297,101.1593368,101.1135005,101.3421324,101.6320877,101.8482684,102.1423125,102.2250077,102.1958955,102.1872376,102.1707742,102.1412554,102.1944084
기타지방,97.688025,97.64432,97.697273,97.76302,97.802217,97.942567,98.453274,98.669894,98.912624,98.982057,99.024425,99.071083,99.164111,99.30332,99.359142,99.383505,99.615896,99.672651,99.702505,99.937322,100,100.0956524,100.0956394,100.1530425,100.2588365,100.3484346,100.5041487,100.5041396,100.5174562,100.4368477,100.4368477,100.4343688,100.4318072,100.4318072,100.4318072,100.4318072,100.3749828,100.3713082,100.3713082,100.3713082,100.3440649,100.3440649,100.3440649,100.3440649,100.3371571,100.3197597,100.3094112,100.2990638,100.3182341,100.3172625,100.3020061,100.3009748,100.313197,100.3748079,100.3803295,100.448522,100.4345621,100.4151496,100.4451549,100.4819423,100.5072254
부산,95.389811,95.413444,95.528267,95.847722,95.981494,96.275396,96.81327,97.278874,97.500977,97.85486,98.015858,98.200018,98.538052,98.493891,99.006579,99.342475,99.632218,99.793038,99.855147,99.924951,100,100.1221626,100.2851416,100.3375712,100.6659515,100.6996521,100.9179704,100.9353561,101.007207,100.9202347,100.9301798,100.8731504,100.7715453,100.7462593,100.7436283,100.7660594,100.7827791,100.7628685,100.7488886,100.7567887,100.7467127,100.7331093,100.7331093,100.7128015,100.7026834,100.7026834,100.7242715,100.7458643,100.7430636,100.7302764,100.667132,100.7262122,100.7382583,100.7179457,100.9309484,101.1873558,101.1873558,101.165371,101.1577025,101.283593,101.4020548
대구,90.60236,91.4675,91.798215,92.403189,92.737756,94.051644,95.010529,96.443098,97.181862,97.893117,98.299799,98.443895,98.631409,98.566829,99.160716,99.175927,99.473953,99.554961,99.615327,99.970197,100,100.2171051,100.4536079,100.5412005,100.63877,100.6639621,100.7361353,100.6492799,100.6714645,100.799763,100.7795841,100.7648844,100.7648844,100.7153758,100.7153758,100.7013399,101.1103361,100.9873677,100.9873677,100.9873677,100.9768759,100.9028174,100.9010811,100.9010811,100.8159517,100.8159517,100.7269755,100.6380778,100.6549625,100.6306959,100.6299153,100.9655262,101.2363924,101.2363924,101.338239,101.2732244,101.3042378,101.1992077,101.1220964,100.8431641,100.8431641
