날짜,스트레스,이직
2024-07-14,75.61942,27.45292
2024-07-15,94.94549,45.39147
2024-07-16,98.51337,40.03964
2024-07-17,95.54013,41.52626
2024-07-18,92.26957,40.63429
2024-07-19,79.78196,35.8771
2024-07-20,67.9881,24.18235
2024-07-21,77.99801,25.27254
2024-07-22,92.07135,40.33696
2024-07-23,96.92765,42.22001
2024-07-24,84.73736,41.82358
2024-07-25,89.79187,42.0218
2024-07-26,82.06144,41.32804
2024-07-27,65.41129,23.98414
2024-07-28,68.38453,26.06541
2024-07-29,73.14172,38.45391
2024-07-30,77.40336,39.44499
2024-07-31,67.9881,39.84142
2024-08-01,73.93458,43.11199
2024-08-02,69.97026,36.37264
2024-08-03,59.66303,21.11
2024-08-04,65.5104,24.18235
2024-08-05,73.73637,44.79682
2024-08-06,77.20515,42.91377
2024-08-07,73.33994,45.88701
2024-08-08,72.05153,40.13875
2024-08-09,75.71853,35.57978
2024-08-10,70.76313,23.38949
2024-08-11,66.50148,23.29038
2024-08-12,76.51139,43.2111
2024-08-13,78.69177,45.58969
2024-08-14,81.36769,39.74231
2024-08-15,72.15064,26.85827
2024-08-16,73.24083,34.6878
2024-08-17,65.70862,23.88503
2024-08-18,67.9881,25.27254
2024-08-19,83.05252,42.41823
2024-08-20,96.333,43.80574
2024-08-21,90.48562,43.60753
2024-08-22,94.44995,45.09415
2024-08-23,83.54806,41.12983
2024-08-24,72.15064,26.06541
2024-08-25,66.50148,26.26362
2024-08-26,92.17046,41.32804
2024-08-27,88.50346,46.48166
2024-08-28,87.7106,47.47274
2024-08-29,85.2329,42.31912
2024-08-30,87.61149,42.0218
2024-08-31,68.88007,24.777
2024-09-01,72.05153,29.83151
2024-09-02,96.82854,48.1665
2024-09-03,99.10802,45.58969
2024-09-04,95.44103,42.51734
2024-09-05,92.26957,41.12983
2024-09-06,87.51238,38.55302
2024-09-07,65.90683,25.27254
2024-09-08,73.33994,25.56987
2024-09-09,89.59365,41.22893
2024-09-10,87.61149,42.71555
2024-09-11,91.77403,46.38255
2024-09-12,84.63825,40.43607
2024-09-13,73.83548,34.29137
2024-09-14,60.45589,19.32606
2024-09-15,58.96927,17.74033
2024-09-16,57.87908,16.74925
2024-09-17,58.77106,17.04658
2024-09-18,68.48364,20.31714
2024-09-19,82.16055,41.03072
2024-09-20,81.07036,33.69672
2024-09-21,67.19524,23.29038
2024-09-22,71.6551,28.34489
2024-09-23,85.43111,44.30128
2024-09-24,89.99008,41.62537
2024-09-25,88.00792,39.84142
2024-09-26,84.24182,41.52626
2024-09-27,81.36769,40.63429
2024-09-28,67.19524,23.98414
2024-09-29,69.97026,26.16451
2024-09-30,76.21407,39.44499
2024-10-01,65.60951,26.46184
2024-10-02,73.63726,38.3548
2024-10-03,65.01486,23.19127
2024-10-04,69.77205,30.82259
