날짜,스트레스,날짜,퇴사
2024-07-14,52.67857,2024-07-14,23.21428
2024-07-15,66.96428,2024-07-15,100.0
2024-07-16,58.92857,2024-07-16,91.96428
2024-07-17,68.75,2024-07-17,75.89285
2024-07-18,59.82142,2024-07-18,93.75
2024-07-19,56.25,2024-07-19,74.10714
2024-07-20,45.53571,2024-07-20,28.57142
2024-07-21,43.75,2024-07-21,42.85714
2024-07-22,58.03571,2024-07-22,75.89285
2024-07-23,66.96428,2024-07-23,81.25
2024-07-24,62.5,2024-07-24,88.39285
2024-07-25,73.21428,2024-07-25,80.35714
2024-07-26,58.92857,2024-07-26,66.96428
2024-07-27,64.28571,2024-07-27,25.89285
2024-07-28,57.14285,2024-07-28,37.5
2024-07-29,48.21428,2024-07-29,69.64285
2024-07-30,56.25,2024-07-30,71.42857
2024-07-31,41.96428,2024-07-31,77.67857
2024-08-01,46.42857,2024-08-01,64.28571
2024-08-02,46.42857,2024-08-02,48.21428
2024-08-03,34.82142,2024-08-03,35.71428
2024-08-04,35.71428,2024-08-04,42.85714
2024-08-05,63.39285,2024-08-05,69.64285
2024-08-06,52.67857,2024-08-06,81.25
2024-08-07,62.5,2024-08-07,77.67857
2024-08-08,58.92857,2024-08-08,64.28571
2024-08-09,58.92857,2024-08-09,66.07142
2024-08-10,46.42857,2024-08-10,25.89285
2024-08-11,35.71428,2024-08-11,38.39285
2024-08-12,64.28571,2024-08-12,77.67857
2024-08-13,58.92857,2024-08-13,84.82142
2024-08-14,53.57142,2024-08-14,81.25
2024-08-15,43.75,2024-08-15,39.28571
2024-08-16,51.78571,2024-08-16,49.10714
2024-08-17,40.17857,2024-08-17,26.78571
2024-08-18,45.53571,2024-08-18,31.25
2024-08-19,63.39285,2024-08-19,91.96428
2024-08-20,86.60714,2024-08-20,77.67857
2024-08-21,79.46428,2024-08-21,78.57142
2024-08-22,79.46428,2024-08-22,76.78571
2024-08-23,60.71428,2024-08-23,69.64285
2024-08-24,52.67857,2024-08-24,44.64285
2024-08-25,37.5,2024-08-25,39.28571
2024-08-26,71.42857,2024-08-26,91.96428
2024-08-27,75.89285,2024-08-27,87.5
2024-08-28,81.25,2024-08-28,73.21428
2024-08-29,62.5,2024-08-29,76.78571
2024-08-30,82.14285,2024-08-30,77.67857
2024-08-31,33.03571,2024-08-31,50.0
2024-09-01,36.60714,2024-09-01,49.10714
2024-09-02,75.89285,2024-09-02,75.0
2024-09-03,83.92857,2024-09-03,86.60714
2024-09-04,81.25,2024-09-04,65.17857
2024-09-05,70.53571,2024-09-05,66.96428
2024-09-06,77.67857,2024-09-06,77.67857
2024-09-07,41.07142,2024-09-07,31.25
2024-09-08,41.96428,2024-09-08,33.03571
2024-09-09,58.03571,2024-09-09,65.17857
2024-09-10,58.92857,2024-09-10,67.85714
2024-09-11,64.28571,2024-09-11,58.03571
2024-09-12,64.28571,2024-09-12,61.60714
2024-09-13,53.57142,2024-09-13,53.57142
2024-09-14,41.96428,2024-09-14,26.78571
2024-09-15,38.39285,2024-09-15,20.53571
2024-09-16,33.03571,2024-09-16,17.85714
2024-09-17,37.5,2024-09-17,18.75
2024-09-18,47.32142,2024-09-18,37.5
2024-09-19,55.35714,2024-09-19,70.53571
2024-09-20,56.25,2024-09-20,64.28571
2024-09-21,42.85714,2024-09-21,29.46428
2024-09-22,40.17857,2024-09-22,44.64285
2024-09-23,78.57142,2024-09-23,82.14285
2024-09-24,69.64285,2024-09-24,70.53571
2024-09-25,56.25,2024-09-25,59.82142
2024-09-26,64.28571,2024-09-26,67.85714
2024-09-27,65.17857,2024-09-27,63.39285
2024-09-28,43.75,2024-09-28,36.60714
2024-09-29,60.71428,2024-09-29,32.14285
2024-09-30,53.57142,2024-09-30,61.60714
2024-10-01,43.75,2024-10-01,36.60714
2024-10-02,54.46428,2024-10-02,68.75
2024-10-03,36.60714,2024-10-03,33.92857
2024-10-04,33.92857,2024-10-04,63.39285
2024-10-05,40.17857,2024-10-05,25.0
2024-10-06,42.85714,2024-10-06,28.57142
2024-10-07,55.35714,2024-10-07,89.28571
2024-10-08,49.10714,2024-10-08,64.28571
2024-10-09,58.03571,2024-10-09,35.71428
2024-10-10,55.35714,2024-10-10,68.75
2024-10-11,57.14285,2024-10-11,61.60714
2024-10-12,47.32142,2024-10-12,31.25
2024-10-13,48.21428,2024-10-13,26.78571
2024-10-14,46.42857,2024-10-14,75.0
2024-10-15,59.82142,2024-10-15,66.96428
2024-10-16,60.71428,2024-10-16,79.46428
2024-10-17,50.89285,2024-10-17,63.39285
2024-10-18,58.92857,2024-10-18,71.42857
2024-10-19,41.96428,2024-10-19,29.46428
2024-10-20,29.46428,2024-10-20,24.10714
2024-10-21,58.92857,2024-10-21,77.67857
2024-10-22,58.03571,2024-10-22,69.64285
2024-10-23,57.14285,2024-10-23,65.17857
2024-10-24,39.28571,2024-10-24,72.32142
2024-10-25,49.10714,2024-10-25,47.32142
2024-10-26,52.67857,2024-10-26,23.21428
2024-10-27,43.75,2024-10-27,31.25
2024-10-28,67.85714,2024-10-28,72.32142
2024-10-29,58.92857,2024-10-29,72.32142
2024-10-30,66.07142,2024-10-30,69.64285
2024-10-31,64.28571,2024-10-31,91.07142
2024-11-01,59.82142,2024-11-01,51.78571
2024-11-02,36.60714,2024-11-02,32.14285
2024-11-03,43.75,2024-11-03,31.25
2024-11-04,50.89285,2024-11-04,68.75
2024-11-05,55.35714,2024-11-05,69.64285
2024-11-06,52.67857,2024-11-06,63.39285
2024-11-07,54.46428,2024-11-07,61.60714
2024-11-08,55.35714,2024-11-08,58.92857
2024-11-09,33.92857,2024-11-09,25.0
2024-11-10,43.75,2024-11-10,33.03571
2024-11-11,56.25,2024-11-11,69.64285
2024-11-12,60.71428,2024-11-12,64.28571
2024-11-13,63.39285,2024-11-13,64.28571
2024-11-14,47.32142,2024-11-14,53.57142
2024-11-15,64.28571,2024-11-15,50.0
2024-11-16,36.60714,2024-11-16,31.25
2024-11-17,41.07142,2024-11-17,35.71428
2024-11-18,56.25,2024-11-18,60.71428
2024-11-19,56.25,2024-11-19,58.03571
2024-11-20,60.71428,2024-11-20,50.89285
2024-11-21,63.39285,2024-11-21,79.46428
2024-11-22,48.21428,2024-11-22,55.35714
2024-11-23,41.07142,2024-11-23,24.10714
2024-11-24,44.64285,2024-11-24,23.21428
2024-11-25,57.14285,2024-11-25,56.25
2024-11-26,49.10714,2024-11-26,75.0
2024-11-27,61.60714,2024-11-27,43.75
2024-11-28,72.32142,2024-11-28,55.35714
2024-11-29,52.67857,2024-11-29,64.28571
2024-11-30,40.17857,2024-11-30,32.14285
2024-12-01,38.39285,2024-12-01,23.21428
2024-12-02,50.89285,2024-12-02,71.42857
2024-12-03,58.92857,2024-12-03,56.25
2024-12-04,45.53571,2024-12-04,58.03571
2024-12-05,41.96428,2024-12-05,59.82142
2024-12-06,44.64285,2024-12-06,48.21428
2024-12-07,33.03571,2024-12-07,32.14285
2024-12-08,21.42857,2024-12-08,21.42857
2024-12-09,60.71428,2024-12-09,64.28571
2024-12-10,53.57142,2024-12-10,55.35714
2024-12-11,61.60714,2024-12-11,64.28571
2024-12-12,62.5,2024-12-12,60.71428
2024-12-13,40.17857,2024-12-13,65.17857
2024-12-14,40.17857,2024-12-14,28.57142
2024-12-15,50.89285,2024-12-15,25.0
2024-12-16,49.10714,2024-12-16,68.75
2024-12-17,67.85714,2024-12-17,54.46428
2024-12-18,47.32142,2024-12-18,50.0
2024-12-19,42.85714,2024-12-19,72.32142
2024-12-20,35.71428,2024-12-20,53.57142
2024-12-21,34.82142,2024-12-21,36.60714
2024-12-22,30.35714,2024-12-22,29.46428
2024-12-23,46.42857,2024-12-23,49.10714
2024-12-24,42.85714,2024-12-24,58.92857
2024-12-25,34.82142,2024-12-25,32.14285
2024-12-26,34.82142,2024-12-26,62.5
2024-12-27,34.82142,2024-12-27,54.46428
2024-12-28,24.10714,2024-12-28,40.17857
2024-12-29,23.21428,2024-12-29,30.35714
2024-12-30,37.5,2024-12-30,58.92857
2024-12-31,41.96428,2024-12-31,58.03571
2025-01-01,51.78571,2025-01-01,40.17857
2025-01-02,35.71428,2025-01-02,62.5
2025-01-03,40.17857,2025-01-03,60.71428
2025-01-04,33.03571,2025-01-04,24.10714
2025-01-05,46.42857,2025-01-05,45.53571
2025-01-06,58.92857,2025-01-06,94.64285
2025-01-07,38.39285,2025-01-07,74.10714
2025-01-08,46.42857,2025-01-08,61.60714
2025-01-09,42.85714,2025-01-09,66.07142
