,id,name,producer,nation,local1,varieties1,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
5,137202,"Calvet, Beaujolais Villages",Calvet,France,Bourgogne,Gamay,Red,Table,12,13~15,SWEET2,ACIDITY4,BODY2,TANNIN2,0,2007,750
6,137203,"Calvet, Aetos",Calvet,France,Bordeaux,Merlot,Red,Table,13,17~19,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2003,750
7,137204,"Calvet, Bordeaux Red",Calvet,France,Bordeaux,Merlot,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,21000,2011,750
10,137208,"Calvet, Varietals Merlot",Calvet,France,Southern France,Merlot,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,19000,2011,750
15,137214,"Calvet, Saint Emilion",Calvet,France,Bordeaux,Merlot,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY2,TANNIN2,42000,2010,750
18,137222,La Carillon de l'Angelus,Chateau Angelus 1st Grand Cru ClasseA,France,Bordeaux,Merlot,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,250000,2017,750
19,137224,Chateau Brillette,Chateau Brillette,France,Bordeaux,Merlot,Red,Table,13~14,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,85000,2013,750
33,137257,"Concha y Toro, Carmin de Peumo",Concha y Toro,Chile,Rapel Valley,Carmenere,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN5,450000,2013,750
35,137259,"Concha y Toro, Frontera Carmenere",Concha y Toro,Chile,Central Valley,Carmenere,Red,Table,12~13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2017,750
37,137261,"Concha y Toro, Sunrise Carmenere",Concha y Toro,Chile,Central Valley,Carmenere,Red,Table,13~14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,22000,2018,750
39,137267,"Concha y Toro, Terrunyo Carmenere",Concha y Toro,Chile,Rapel Valley,Carmenere,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,100000,2017,750
50,137283,RedWood Creek Merlot,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Merlot,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2005,750
62,137297,"Frei Brothers, Pinot Noir",Frei Brothers,USA,California,Pinot Noir,Red,Table,14~15,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,59000,2018,750
65,137300,"Gallo Family, Sonoma Merlot",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Merlot,Red,Table,13.9,17~19,SWEET1,ACIDITY3,BODY4,TANNIN3,70000,2007,750
66,137301,"Gallo Family, Sonoma Pinot Noir",Gallo Family Vineyard  EJ Gallo Winery,USA,California,Pinot Noir,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY3,TANNIN2,70000,2006,750
67,137302,Sonoma Zinfandel,Gallo Family Vineyard  EJ Gallo Winery,USA,California,Zinfandel,Red,Table,13~14,16~18,SWEET2,ACIDITY2,BODY5,TANNIN3,0,2004,750
69,137305,Ginestet Bordeaux de Ginestet Red,Maison Ginestet,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,22500,2006,750
70,137306,Ginestet Bordeaux Reserve Red,Maison Ginestet,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,32000,2008,750
73,137310,Mascaron Bordeaux rouge,Maison Ginestet,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,36000,2007,750
74,137311,Reference,Maison Ginestet,France,Bordeaux,Merlot,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2000,750
81,137319,Ginestet Saint Emilion,Maison Ginestet,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,45000,2008,750
82,137320,Mascaron Puisseguin Saint Emilion,Maison Ginestet,France,Bordeaux,Merlot,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,45000,2009,750
86,137324,Ginestet Selection Merlot,Maison Ginestet,France,Southern France,Merlot,Red,Table,11.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,17000,2010,750
88,137326,"Jean Berteau, Chateauneuf du Pape Domaine du Grand Coulet",Jean Berteau,France,Rhone,Grenache,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY4,TANNIN4,0,2005,750
89,137327,"Jean Berteau, Cotes du Rhone Cuvee Prestige Red",Jean Berteau,France,Rhone,Syrah & Shiraz,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2006,750
91,137329,Jean Berteau Excellence,Jean Berteau,France,Rhone,Syrah & Shiraz,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2005,750
92,137330,"Jean Luc Colombo, Chateauneuf du Pape 'Les Bartavelles'",Jean Luc Colombo,France,Rhone,Syrah & Shiraz,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,190000,2011,750
93,137331,"Jean Luc Colombo, Cornas 'Les Ruchets'",Jean Luc Colombo,France,Rhone,Syrah & Shiraz,Red,Table,13,16~19,SWEET1,ACIDITY4,BODY4,TANNIN4,260000,2009,750
94,137332,Cote Rotie La Divine,Jean Luc Colombo,France,Rhone,Syrah & Shiraz,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,0,2004,750
95,137333,Jean Luc Colombo Cotes du Rhone  'Les Abeilles' Rouge,Jean Luc Colombo,France,Rhone,Grenache,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,39000,2013,750
98,137336,"Jean Luc Colombo, Crozes Hermitage  La Tuiliere",Jean Luc Colombo,France,Rhone,Syrah & Shiraz,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2004,750
99,137337,"Jean Luc Colombo, Hermitage Le Rouet",Jean Luc Colombo,France,Rhone,Syrah & Shiraz,Red,Table,13,16~18,SWEET1,ACIDITY4,BODY5,TANNIN4,0,2004,750
100,137338,"Jean Luc Colombo, Collines Rhodaniennes 'Les Collines de Laure'",Jean Luc Colombo,France,Rhone,Syrah & Shiraz,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,40000,2018,750
101,137339,"Jean Luc Colombo, Saint Joseph Red Le Prieure",Jean Luc Colombo,France,Rhone,Syrah & Shiraz,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2004,750
112,137351,"Blue Nun, Merlot",Langguth  Blue nun,France,Southern France,Merlot,Red,Table,13,16~18,SWEET2,ACIDITY3,BODY2,TANNIN2,17000,2011,750
117,137356,"Lawson's Dry Hills, Pinot Noir",Lawsons Dry Hills,New Zealand,South Island,Pinot Noir,Red,Table,13.5,15~17,SWEET1,ACIDITY5,BODY3,TANNIN3,0,2008,750
122,137363,Lindemans Bin 50 Shiraz,Lindemans,Australia,South Australia,Syrah & Shiraz,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN4,0,2014,750
125,137366,Lindemans Cawarra Shiraz Cabernet,Lindemans,Australia,South Australia,Syrah & Shiraz,Red,Table,13,17~19,SWEET1,ACIDITY3,BODY3,TANNIN4,17000,2014,750
129,137370,Lindemans Reserve Shiraz,Lindemans,Australia,South Australia,Syrah & Shiraz,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2010,750
132,137373,Lindemans Premier Selection Shiraz Cabernet,Lindemans,Australia,South Australia,Syrah & Shiraz,Red,Table,13.5,17~19,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2012,750
134,137375,Marques de Caceres Gaudium,Marques de Caceres,Spain,Rioja,Tempranillo,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2012,750
135,137376,Marques de Caceres Crianza,Marques de Caceres,Spain,Rioja,Tempranillo,Red,Table,13.5,16~18,SWEET1,ACIDITY4,BODY3,TANNIN3,0,2012,750
136,137377,Marques de Caceres Gran Reserva,Marques de Caceres,Spain,Rioja,Tempranillo,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2009,750
137,137379,Marques de Caceres Reserva,Marques de Caceres,Spain,Rioja,Tempranillo,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2011,750
138,137380,Marques de Caceres MC,Marques de Caceres,Spain,Rioja,Tempranillo,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2013,750
140,137382,"Matua, Marlborough Pinot Noir",Matua,New Zealand,South Island,Pinot Noir,Red,Table,12~13,15~17,SWEET1,ACIDITY3,BODY3,TANNIN2,50000,2017,750
143,137385,JJ McWilliam's Shiraz Cabernet,McWilliams Wines,Australia,South Australia,Syrah & Shiraz,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY2,TANNIN3,22000,2007,750
146,137388,McWilliam's Hanwood Shiraz,McWilliams Wines,Australia,South Australia,Syrah & Shiraz,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,30000,2008,750
155,137397,"Ruffino, Aziano Chianti Classico",Ruffino,Italy,Toscana,Sangiovese,Red,Table,,,SWEET1,ACIDITY3,BODY3,TANNIN3,52000,2018,750
156,137398,"Ruffino, Chianti",Ruffino,Italy,Toscana,Sangiovese,Red,Table,12.5,15~18,SWEET1,ACIDITY3,BODY3,TANNIN3,30000,2019,750
157,137399,"Ruffino, Il Leo Chianti Superiore",Ruffino,Italy,Toscana,Sangiovese,Red,Table,13~14,15~18,SWEET1,ACIDITY3,BODY3,TANNIN3,42000,2017,750
158,137400,"Ruffino, Riserva Ducale Chianti Classico Riserva",Ruffino,Italy,Toscana,Sangiovese,Red,Table,13~14,15~18,SWEET1,ACIDITY3,BODY4,TANNIN3,71000,2017,750
